cpp_code,rust_code
"Translate the following C++ code to Rust, ensuring the result is idiomatic, safe, and efficient. Utilize Rust best practices such as ownership, borrowing, and error handling with Result where applicable. Optimize for performance while maintaining readability, following Rust's rustfmt conventions. Ensure the translated code is well-structured, properly indented, and free of unnecessary allocations:
```
/*
 * C++ Program to Implement a Class with Mutable Members
 */
#include <iostream>

class A {
    private:
        int i;
        mutable int j;
    public:
        A(int ii = 0, int jj = 1) : i(ii), j(jj) { }
        void change() const;
        void print();
};

void A::change() const
{
    // Mutable variable
    j++;
}

void A::print()
{
    std::cout << ""A::i = "" << i << std::endl
              << ""A::j = "" << j << std::endl;
}

int main()
{
    A a;

    std::cout << ""Before A::change()"" << std::endl;
    a.print();
    a.change();
    std::cout << ""After  A::change()"" << std::endl;
    a.print();
}
```","Here is the translation from C++ to Rust.
```
struct A {
    i: i32,
    j: i32,
}

impl A {
    fn new(ii: i32, jj: i32) -> Self {
        A { i: ii, j: jj }
    }

    fn change(&mut self) {
        // Mutable variable
        self.j += 1;
    }

    fn print(&self) {
        println!(""A::i = {}"", self.i);
        println!(""A::j = {}"", self.j);
    }
}

fn main() {
    let mut a = A::new(0, 1);

    println!(""Before A::change()"");
    a.print();
    a.change();
    println!(""After  A::change()"");
    a.print();
}
```"
"Translate the following C++ code to Rust, ensuring the result is idiomatic, safe, and efficient. Utilize Rust best practices such as ownership, borrowing, and error handling with Result where applicable. Optimize for performance while maintaining readability, following Rust's rustfmt conventions. Ensure the translated code is well-structured, properly indented, and free of unnecessary allocations:
```
#include <unordered_map>
#include <iostream>

struct FactorialHelper {
   // Overloaded call operator
   long long operator()(int n) {
      long long result = 1;

      // If cache contains factorial of n, then load it, else calculate it and store in cache
      if(cache.find(n) != cache.end()) {
         result = cache[n];
      } else {
         for(int i = 1; i <= n; ++i) {
            result *= i;
         }
         cache[n] = result;
      }
      return result;
   }
private:
   std::unordered_map<int, long long> cache;
};

int main() {
   FactorialHelper factorial;
   std::cout << factorial(5);
}
```","Here is the translation from C++ to Rust.
```
use std::collections::HashMap;

struct FactorialHelper {
    cache: HashMap<i32, i64>,
}

impl FactorialHelper {
    fn new() -> Self {
        FactorialHelper {
            cache: HashMap::new(),
        }
    }

    fn factorial(&mut self, n: i32) -> i64 {
        if let Some(&result) = self.cache.get(&n) {
            return result;
        }

        let mut result = 1;
        for i in 1..=n {
            result *= i as i64;
        }

        self.cache.insert(n, result);
        result
    }
}

fn main() {
    let mut factorial = FactorialHelper::new();
    println!(""{}"", factorial.factorial(5));
}
```"
"Translate the following C++ code to Rust, ensuring the result is idiomatic, safe, and efficient. Utilize Rust best practices such as ownership, borrowing, and error handling with Result where applicable. Optimize for performance while maintaining readability, following Rust's rustfmt conventions. Ensure the translated code is well-structured, properly indented, and free of unnecessary allocations:
```
#include <iostream>
#include <string>

class Counter {
public:
    Counter() : count(0) {}

    void increment() const {
        // This method is const, but count can still be modified due to 'mutable'
        count++;
    }

    int getCount() const {
        return count;
    }

private:
    mutable int count;  // 'mutable' allows modification even in const methods
};

int main() {
    Counter counter;
    counter.increment();
    counter.increment();

    std::cout << ""Counter: "" << counter.getCount() << std::endl;
    return 0;
}
```","Here is the translation from C++ to Rust.
```
struct Counter {
    count: i32,
}

impl Counter {
    fn new() -> Counter {
        Counter { count: 0 }
    }

    fn increment(&mut self) {
        self.count += 1;
    }

    fn get_count(&self) -> i32 {
        self.count
    }
}

fn main() {
    let mut counter = Counter::new();
    counter.increment();
    counter.increment();

    println!(""Counter: {}"", counter.get_count());
}
```"
"Translate the following C++ code to Rust, ensuring the result is idiomatic, safe, and efficient. Utilize Rust best practices such as ownership, borrowing, and error handling with Result where applicable. Optimize for performance while maintaining readability, following Rust's rustfmt conventions. Ensure the translated code is well-structured, properly indented, and free of unnecessary allocations:
```
#include <iostream>

using namespace std;
void test(int*, int*);
int main() {
        int a = 5, b = 5;
        cout << ""Before changing:"" << endl;
        cout << ""a = "" << a << endl;
        cout << ""b = "" << b << endl;

        test(&a, &b);

        cout << ""\nAfter changing"" << endl;
        cout << ""a = "" << a << endl;
        cout << ""b = "" << b << endl;
        return 0;
}

void test(int* n1, int* n2) {
        *n1 = 10;
        *n2 = 11;
}
```","Here is the translation from C++ to Rust.
```
fn main() {
    let mut a = 5;
    let mut b = 5;
    println!(""Before changing:"");
    println!(""a = {}"", a);
    println!(""b = {}"", b);

    test(&mut a, &mut b);

    println!(""
After changing"");
    println!(""a = {}"", a);
    println!(""b = {}"", b);
}

fn test(n1: &mut i32, n2: &mut i32) {
    *n1 = 10;
    *n2 = 11;
}
```"
"Translate the following C++ code to Rust, ensuring the result is idiomatic, safe, and efficient. Utilize Rust best practices such as ownership, borrowing, and error handling with Result where applicable. Optimize for performance while maintaining readability, following Rust's rustfmt conventions. Ensure the translated code is well-structured, properly indented, and free of unnecessary allocations:
```
#include <iostream>
using namespace std;

int main() {
   int number = 42;        // A normal integer variable
   int* ptr = &number;     // Pointer that holds the address of 'number'

   // Dereferencing to read the value
   cout << ""Original Value: "" << *ptr << endl;

   // Dereferencing to modify the value
   *ptr = 100;
   cout << ""Modified Value: "" << number << endl;
   return 0;
}
```","Here is the translation from C++ to Rust.
```
fn main() {
    let mut number = 42;        // A mutable integer variable
    let ptr = &mut number;      // Mutable pointer that holds the address of 'number'

    // Dereferencing to read the value
    println!(""Original Value: {}"", *ptr);  

    // Dereferencing to modify the value
    *ptr = 100;  
    println!(""Modified Value: {}"", number);  
}
```"
"Translate the following C++ code to Rust, ensuring the result is idiomatic, safe, and efficient. Utilize Rust best practices such as ownership, borrowing, and error handling with Result where applicable. Optimize for performance while maintaining readability, following Rust's rustfmt conventions. Ensure the translated code is well-structured, properly indented, and free of unnecessary allocations:
```
#include<bits/stdc++.h>  
using namespace std; 
  
// Driver code 
int main() 
{   
  // Input file stream object to  
  // read from file.txt 
  ifstream in(""file1.txt""); 
    
  // Output file stream object to  
  // write to file2.txt 
  ofstream f(""file2.txt""); 
      
  // Reading file.txt completely using  
  // END OF FILE eof() method 
  while(!in.eof()) 
  { 
    // string to extract line from  
    // file.txt 
    string text; 
        
    // extracting line from file.txt 
    getline(in, text); 
        
    // Writing the extracted line in  
    // file2.txt 
    f << text << endl; 
  } 
  return 0; 
}
```","Here is the translation from C++ to Rust.
```
use std::fs::File;
use std::io::{self, BufRead, BufReader, Write};

fn main() -> io::Result<()> {
    // Open the input file for reading
    let input_file = File::open(""file1.txt"")?;
    let reader = BufReader::new(input_file);

    // Open the output file for writing
    let mut output_file = File::create(""file2.txt"")?;

    // Read and write line by line
    for line in reader.lines() {
        writeln!(output_file, ""{}"", line?)?;
    }

    Ok(())
}
```"
"Translate the following C++ code to Rust, ensuring the result is idiomatic, safe, and efficient. Utilize Rust best practices such as ownership, borrowing, and error handling with Result where applicable. Optimize for performance while maintaining readability, following Rust's rustfmt conventions. Ensure the translated code is well-structured, properly indented, and free of unnecessary allocations:
```
#include<bits/stdc++.h>
using namespace std;
  
// User Defined Complex class
class Complex 
{ 
    // Declaring variables
    public: int real, imaginary;
  
    // Constructor to accept
    // real and imaginary part
    Complex(int tempReal = 0, 
            int tempImaginary = 0)
    {
        real = tempReal;
        imaginary = tempImaginary;
    }
  
    // Defining addComp() method
    // for adding two complex number
    Complex addComp(Complex C1, Complex C2)
    {
        // Creating temporary variable
        Complex temp;
  
        // Adding real part of 
        // complex numbers
        temp.real = C1.real + C2.real;
  
        // Adding Imaginary part of 
        // complex numbers
        temp.imaginary = (C1.imaginary + C2.imaginary);
  
        // Returning the sum
        return temp;
    }
};
  
// Driver code
int main()
{
    // First Complex number
    Complex C1(3, 2);
 
    // printing first complex number
    cout << ""Complex number 1 : "" << 
             C1.real << "" + i"" << 
             C1.imaginary << endl;
 
    // Second Complex number
    Complex C2(9, 5);
 
    // Printing second complex number
    cout << ""Complex number 2 : "" << 
             C2.real << "" + i"" << 
             C2.imaginary << endl;
 
    // For Storing the sum
    Complex C3;
 
    // Calling addComp() method
    C3 = C3.addComp(C1, C2);
 
    // Printing the sum
    cout << ""Sum of complex number : "" << 
             C3.real << "" + i"" << 
             C3.imaginary;
}
```","Here is the translation from C++ to Rust.
use std::fmt;

// Define a Complex struct
#[derive(Debug, Clone, Copy)]
struct Complex {
    real: i32,
    imaginary: i32,
}

impl Complex {
    // Constructor-like function for initialization
    fn new(real: i32, imaginary: i32) -> Self {
        Self { real, imaginary }
    }

    // Method to add two Complex numbers
    fn add(&self, other: &Complex) -> Complex {
        Complex {
            real: self.real + other.real,
            imaginary: self.imaginary + other.imaginary,
        }
    }
}

// Implement Display trait for pretty printing
impl fmt::Display for Complex {
    fn fmt(&self, f: &mut fmt::Formatter) -> fmt::Result {
        write!(f, ""{} + i{}"", self.real, self.imaginary)
    }
}

fn main() {
    // First complex number
    let c1 = Complex::new(3, 2);
    println!(""Complex number 1: {}"", c1);

    // Second complex number
    let c2 = Complex::new(9, 5);
    println!(""Complex number 2: {}"", c2);

    // Compute the sum
    let c3 = c1.add(&c2);
    println!(""Sum of complex numbers: {}"", c3);
}"
"Translate the following C++ code to Rust, ensuring the result is idiomatic, safe, and efficient. Utilize Rust best practices such as ownership, borrowing, and error handling with Result where applicable. Optimize for performance while maintaining readability, following Rust's rustfmt conventions. Ensure the translated code is well-structured, properly indented, and free of unnecessary allocations:
#include <iostream> 
using namespace std;
 
// Driver code
int main()
{
    // Change here to change output
    int n = 5;
    for (int i = 1; i <= 10; ++i)
        cout << n << "" * "" << i << "" = "" << n * i << endl;
    return 0;
}","Here is the translation from C++ to Rust.
```
fn main() {
    // Change here to change output
    let n = 5;

    // Iterate from 1 to 10 and print the multiplication table
    for i in 1..=10 {
        println!(""{} * {} = {}"", n, i, n * i);
    }
}
```"
"Translate the following C++ code to Rust, ensuring the result is idiomatic, safe, and efficient. Utilize Rust best practices such as ownership, borrowing, and error handling with Result where applicable. Optimize for performance while maintaining readability, following Rust's rustfmt conventions. Ensure the translated code is well-structured, properly indented, and free of unnecessary allocations:
```
#include <bits/stdc++.h> 
using namespace std;

int main() {
    char op;
    double a, b, res;

    // Read the operator
    cout << ""Enter an operator (+, -, *, /): "";
    cin >> op;

    // Read the two numbers
    cout << ""Enter two numbers: "";
    cin >> a >> b;

    // Define all four operations in the corresponding
    // switch-case
    switch (op) {
    case '+':
        res = a + b;
        break;
    case '-':
        res = a - b;
        break;
    case '*':
        res = a * b;
        break;
    case '/':
        res = a / b;
        break;
    default:
        cout << ""Error! Operator is not correct"";
        res = -DBL_MAX;
    }
    
      // Printing the result
    if (res != -DBL_MAX)
        cout << ""Result: "" << res;
    return 0;
}
```","Here is the translation from C++ to Rust.
```
use std::io;

fn main() {
    // Read operator
    println!(""Enter an operator (+, -, *, /): "");
    let mut op = String::new();
    io::stdin().read_line(&mut op).expect(""Failed to read input"");
    let op = op.trim().chars().next(); // Get first character

    // Read two numbers
    println!(""Enter two numbers: "");
    let mut input = String::new();
    io::stdin().read_line(&mut input).expect(""Failed to read input"");

    // Parse input numbers
    let nums: Vec<f64> = input
        .split_whitespace()
        .filter_map(|s| s.parse().ok())
        .collect();

    if nums.len() != 2 {
        println!(""Error! Please enter two valid numbers."");
        return;
    }

    let (a, b) = (nums[0], nums[1]);

    // Perform the operation
    let result = match op {
        Some('+') => Some(a + b),
        Some('-') => Some(a - b),
        Some('*') => Some(a * b),
        Some('/') => {
            if b != 0.0 {
                Some(a / b)
            } else {
                println!(""Error! Division by zero."");
                None
            }
        }
        _ => {
            println!(""Error! Operator is not correct."");
            None
        }
    };

    // Print result if valid
    if let Some(res) = result {
        println!(""Result: {}"", res);
    }
}
```"
"Translate the following C++ code to Rust, ensuring the result is idiomatic, safe, and efficient. Utilize Rust best practices such as ownership, borrowing, and error handling with Result where applicable. Optimize for performance while maintaining readability, following Rust's rustfmt conventions. Ensure the translated code is well-structured, properly indented, and free of unnecessary allocations:
```
#include <iostream> 
using namespace std; 
  
// Driver Code 
int main() 
{ 
    int i; 
  
    // Take input using cin 
    cin >> i; 
  
    // Print output 
    cout << i; 
  
    return 0; 
}
```","Here is the translation from C++ to Rust.
```
use std::io;

fn main() {
    // Create a mutable string to store input
    let mut input = String::new();

    // Read input from the user
    io::stdin().read_line(&mut input).expect(""Failed to read input"");

    // Parse input to an integer
    let i: i32 = match input.trim().parse() {
        Ok(num) => num,
        Err(_) => {
            println!(""Invalid input. Please enter a valid integer."");
            return;
        }
    };

    // Print the output
    println!(""{}"", i);
}
```"
"Translate the following C++ code to Rust, ensuring the result is idiomatic, safe, and efficient. Utilize Rust best practices such as ownership, borrowing, and error handling with Result where applicable. Optimize for performance while maintaining readability, following Rust's rustfmt conventions. Ensure the translated code is well-structured, properly indented, and free of unnecessary allocations:
```
#include <iostream>
using namespace std;
 
// Driver code
int main()
{
    // Declare the variables
    int num;
 
    // Input the integer
    cout << ""Enter the integer: "";
    cin >> num;
 
    // Display the integer
    cout << ""Entered integer is: "" << num;
 
    return 0;
}
```","Here is the translation from C++ to Rust.
```
use std::io;

fn main() {
    // Prompt the user for input
    println!(""Enter the integer: "");

    // Create a mutable string to store input
    let mut input = String::new();

    // Read input from the user
    io::stdin().read_line(&mut input).expect(""Failed to read input"");

    // Parse input to an integer
    let num: i32 = match input.trim().parse() {
        Ok(n) => n,
        Err(_) => {
            println!(""Invalid input. Please enter a valid integer."");
            return;
        }
    };

    // Display the entered integer
    println!(""Entered integer is: {}"", num);
}
```"
"Translate the following C++ code to Rust, ensuring the result is idiomatic, safe, and efficient. Utilize Rust best practices such as ownership, borrowing, and error handling with Result where applicable. Optimize for performance while maintaining readability, following Rust's rustfmt conventions. Ensure the translated code is well-structured, properly indented, and free of unnecessary allocations:
```
#include <vector>
#include <cstdio>

// Visits all elements of a vector vec and invokes the
// visitor for each item.

template <typename T, typename F>
void visit(std::vector<T> &vec, const F &visitor) {
    for (auto item : vec) {
        visitor(item);
    }
}

int main() {
    std::vector<int> vec = {0, 1, 2};

    // Calling visit to print each element of a vector.
    // The printing code is passed as a lambda function.
    visit(vec, [](int a) { printf(""%d\n"", a); });
    return 0;
}
```","Here is the translation from C++ to Rust.
```
fn visit<T, F>(vec: &Vec<T>, visitor: F)
where
    F: Fn(&T),
{
    for item in vec {
        visitor(item);
    }
}

fn main() {
    let vec = vec![0, 1, 2];

    // Calling visit to print each element of a vector.
    // The printing code is passed as a closure.
    visit(&vec, |a| println!(""{}"", a));
}
```
"
"Translate the following C++ code to Rust, ensuring the result is idiomatic, safe, and efficient. Utilize Rust best practices such as ownership, borrowing, and error handling with Result where applicable. Optimize for performance while maintaining readability, following Rust's rustfmt conventions. Ensure the translated code is well-structured, properly indented, and free of unnecessary allocations:
```
#include <cstdio>
#include <chrono>
#include <thread>
#include <future>

// Simulate a long computation
int long_computation(int x, int duration_seconds, const char identifier) {
    // Print a character to mark the progress of the computation.
    for (auto i = 0; i < duration_seconds * 10; ++i) {
        std::this_thread::sleep_for(std::chrono::milliseconds{100});
        printf(""%c"", identifier);
    }
    return 42 + x;
}

int main() {
    auto x = 5, y = 6;
    printf(""main thread   : x = %d, y = %d\n"", x, y);
    printf(""main thread   : launching lambda thread\n"");

    // Execute the lambda function in a separate thread.
    // The function returns a future.
    auto result_future = std::async(std::launch::async, [=]() {
                printf(""lambda thread : x = %d\n"", x);
                auto answer = long_computation(x, 6, 'l');
                printf(""\nlambda thread : long computation completed\n"");
                printf(""lambda thread : x = %d\n"", x);
                return answer;
    });

    // At this point main thread and lambda thread
    // are executing in parallel.
    x = 0;
    printf(""main thread   : x = %d, y = %d\n"", x, y);
    auto main_thread_result = long_computation(x, 3, 'm');
    printf(""\nmain thread   : long computation completed\n"");
    // Wait for the result from the lambda thread
    auto lambda_thread_result = result_future.get();
    printf(""main thread   : result = %d\n"", main_thread_result);
    printf(""lambda thread : result = %d\n"", lambda_thread_result);
}
```","Here is the translation from C++ to Rust.
```
use std::io::{self, Write};
use std::thread;
use std::time::Duration;

// Simulate a long computation
fn long_computation(x: i32, duration_seconds: u64, identifier: char) -> i32 {
    for _ in 0..(duration_seconds * 10) {
        thread::sleep(Duration::from_millis(100));
        print!(""{}"", identifier);
        io::stdout().flush().unwrap(); // Ensure immediate output
    }
    42 + x
}

fn main() {
    let mut x = 5;
    let y = 6;

    println!(""main thread   : x = {}, y = {}"", x, y);
    println!(""main thread   : launching lambda thread"");

    // Spawn a new thread to perform the long computation
    let lambda_thread = thread::spawn({
        let x = x; // Capture `x` by value for the lambda thread
        move || {
            println!(""lambda thread : x = {}"", x);
            let answer = long_computation(x, 6, 'l');
            println!(""\nlambda thread : long computation completed"");
            println!(""lambda thread : x = {}"", x);
            answer
        }
    });

    // Update `x` in the main thread and perform its own long computation
    x = 0;
    println!(""main thread   : x = {}, y = {}"", x, y);
    let main_thread_result = long_computation(x, 3, 'm');
    println!(""\nmain thread   : long computation completed"");

    // Wait for the lambda thread to finish and get the result
    match lambda_thread.join() {
        Ok(lambda_thread_result) => {
            println!(""main thread   : result = {}"", main_thread_result);
            println!(""lambda thread : result = {}"", lambda_thread_result);
        }
        Err(e) => {
            eprintln!(""Error joining lambda thread: {:?}"", e);
        }
    }
}
```

"
